Глубина манометра;Dшт;Руст_ср;Рзаб_ср;Pлин_ср;Pлин;Туст;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит нест. конд.;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Pсб;Ro_c;Удельная плотность газа ;G_total;КГФ
3512.5;9;245;334.5;92.1;91.9;42;107.4;25.7;55;1.55;89.3;20.9;35.4;38.4;87;772;0.656;;131
3512.5;7.94;249;335;96.2;95.3;44;107.3;21;42.8;1.82;70.8;20.9;35.4;38.4;87;770;0.656;;135
3512.5;9.53;242;327.4;92.1;95.4;52;107.4;29.8;58.7;3.23;95.4;20.9;35.4;38.4;89;770;0.656;;133
3512.5;12.7;221;315.9;98.7;90.5;62;107.4;44.1;88.6;1.86;145.4;20.9;35.4;38.4;95;772;0.656;;129
3512.5;14.29;206;306.5;94.5;94.2;59;107.4;47.1;104.9;2.34;164.6;20.9;35.4;38.4;90;766;0.656;;133
3518.5;7.94;210;283.3;89;89.2;47;107.3;24.7;38.2;1.46;62;30.1;30.1;37.5;92;776.9;0.65;;147
3518.5;9.53;205;278.6;91.9;91.5;55;107.5;34.2;42.8;4.06;69.5;30.1;30.1;37.5;90;776.9;0.65;;118
3518.5;11.11;196;275.6;92.2;91.5;64;107.5;41;48;5.53;77.7;30.1;30.1;37.5;89;776.9;0.65;;104
3518.5;12.7;186;262.2;93.1;86.9;67;107.4;45.8;51.1;6.03;82;30.1;30.1;37.5;93;776.9;0.65;;95
3518.5;14.29;170.2;252.9;89.2;90.2;68;107.3;48.7;54.7;8.38;86.2;30.1;30.1;37.5;85;776.9;0.65;;85
3520.6;9.53;183;251;96.4;96.4;54;106.5;36.2;38;0.62;62;30.1;27.4;35.8;96;769.8;0.666;;117
3520.6;11.1;175.6;247.6;99.3;99.3;56;106.5;42.5;43;0.69;70.7;30.1;27.4;35.8;96;769.8;0.666;;103
3520.6;12.7;168.1;241.7;101.1;101.3;59;106.5;47.4;45.4;4.36;73.6;30.1;27.4;35.8;97;769.8;0.666;;92
3520.6;14.29;157;235.7;105.4;105.4;59;106.4;52.5;50.4;5.01;82.9;30.1;27.4;35.8;97;769.8;0.666;;88
;9.5;173;;93.4;92.4;53;;35.8;31;0.5;51.5;30.1;;;90;765.3;0.665;;101
3608.5;8;247.9;328.5;89.9;89.9;33;108.2;21.7;45.1;3.07;72.2;18;36.5;44.5;88;777.7;0.666;2.648130738;147.4961277
3608.5;9.53;230;316;91.4;91.5;52;108.1;30;57.9;3.31;95.7;18;36.5;44.5;88;771;0.666;3.520904793;139.697035
3608.5;11.11;214;300.8;94.1;94;58;107.7;38;72.9;2.08;114.1;18;36.5;44.5;93;778;0.666;4.331299426;144.16933
3608.5;12.7;196.6;284.5;93.8;92.6;57;107.3;43;78.7;1.72;129.2;18;36.5;44.5;92;777;0.666;5.092256573;130.0435556
3608.5;14.29;179;269.9;94.6;94.5;60;106.7;47.3;83.8;1.96;135;18;36.5;44.5;93;771;0.666;5.633255816;123.3042982
3612.5;9.53;204;288.8;90.1;90.4;59;107.4;32.4;48.5;0.69;75.4;18;34.3;40.5;89;775;0.656526639;3.063832634;131.2092933
3612.5;11.1;192.7;276.9;91.1;91.4;59;107.1;38.8;55;3.92;86.1;18;34.3;40.5;89;775;0.656526639;3.832372019;118.4131718
3612.5;12.7;175.6;267.6;91.8;91.5;63;106.7;44.3;57.9;5.16;93.5;18;34.3;40.5;90;775;0.656526639;4.577716027;102.6653995
3612.5;14.29;161;248.4;91.9;96.1;63;106.0;47.2;58.6;6.32;95.7;18;34.3;40.5;89;775;0.656526639;5.088555593;92.54619515
